pattern,language,runs,avg_execution_time_ms,min_ms,max_ms,avg_execution_time_s,avg_power_w,energy_j,energy_kwh,carbon_kg,energy_per_message_j,energy_diff_vs_java_%
decorator,java,30,7720.14,7300.74,8110.35,7.720140000000001,6.491737931034482,50.11712567089655,1.3921423797471264e-05,8.352854278482758e-06,1.6705708556965517,
decorator,python,30,9988.93,9609.34,10773.67,9.98893,6.612740458015266,66.05420154328243,1.8348389317578455e-05,1.1009033590547072e-05,2.2018067181094145,31.8
observer,java,30,4494.26,4150.95,5151.41,4.494260000000001,5.724129094412332,25.72572442385357,7.146034562181548e-06,4.2876207373089286e-06,0.8575241474617857,
observer,python,30,5978.69,5696.38,6288.03,5.978689999999999,5.223605172413793,31.230316008258615,8.675087780071837e-06,5.205052668043102e-06,1.0410105336086206,21.4
strategy,java,30,4522.74,4093.7,4894.61,4.52274,4.487466431095406,20.295643926572435,5.637678868492343e-06,3.3826073210954058e-06,0.6765214642190812,
strategy,python,30,5893.19,5680.61,6437.81,5.89319,5.832601410934744,34.37262830890653,9.54795230802959e-06,5.728771384817754e-06,1.145754276963551,69.36
